## Fri Jul 18 16:34:17 2025,,,,,,,,,,,,,,,,,,,,
## emapper-2.1.12,,,,,,,,,,,,,,,,,,,,
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_jq_jpm98/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel,,,,,,,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,
#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
OEU12844.1_hypothetical-protein-FRACYDRAFT_244117-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47901,5.44e-101,323,"2EKM9@1|root,2SMTZ@2759|Eukaryota,2XG0N@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12840.1_hypothetical-protein-FRACYDRAFT_191009-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr48570,1.28e-49,161,"2BX27@1|root,2S5PG@2759|Eukaryota,2XDPQ@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rhodanese
OEU12839.1_mitochondrial-carrier-[Fragilariopsiscylindrus-CCMP1102],159749.K0REL6,1.47e-90,305,"KOG0768@1|root,KOG2501@1|root,KOG0768@2759|Eukaryota,KOG2501@2759|Eukaryota,2XCV7@2836|Bacillariophyta",2836|Bacillariophyta,U,Thioredoxin-like domain,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin_8
OEU12837.1_hypothetical-protein-FRACYDRAFT_244110-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr48605,1.05e-65,231,"2EEZX@1|root,2SK9T@2759|Eukaryota,2XF2P@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12836.1_hypothetical-protein-FRACYDRAFT_263069-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47449,8.05e-20,90.9,"COG0359@1|root,2QZ7R@2759|Eukaryota,2XHAT@2836|Bacillariophyta",2836|Bacillariophyta,J,"Ribosomal protein L9, C-terminal domain",-,-,-,-,-,-,-,-,-,-,-,-,"Ribosomal_L9_C,Ribosomal_L9_N"
OEU12835.1_hypothetical-protein-FRACYDRAFT_227588-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps6551,1.01e-112,332,"2CRU9@1|root,2R95V@2759|Eukaryota,2XECM@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"OEU12833.1_Arf-GTPase-activating-protein,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr47899,2.89e-37,134,"COG5347@1|root,KOG0704@2759|Eukaryota,2XGU4@2836|Bacillariophyta",2836|Bacillariophyta,TUZ,"Putative GTP-ase activating proteins for the small GTPase, ARF",-,-,-,-,-,-,-,-,-,-,-,-,ArfGap
OEU12810.1_hypothetical-protein-FRACYDRAFT_244085-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr44900,3.88e-42,159,"COG0584@1|root,2QYDF@2759|Eukaryota,2XG16@2836|Bacillariophyta",2836|Bacillariophyta,C,Glycerophosphoryl diester phosphodiesterase family,-,-,-,-,-,-,-,-,-,-,-,-,GDPD
OEU12798.1_MFS-general-substrate-transporter-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42868,2.46e-91,298,"2ECDC@1|root,2SI9F@2759|Eukaryota,2XE7X@2836|Bacillariophyta",2836|Bacillariophyta,S,Major Facilitator Superfamily,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1
OEU12796.1_hypothetical-protein-FRACYDRAFT_270480-[Fragilariopsiscylindrus-CCMP1102],159749.K0R830,4.2e-53,191,"2E7PF@1|root,2SE8Q@2759|Eukaryota",159749.K0R830|-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12790.1_hypothetical-protein-FRACYDRAFT_244064-[Fragilariopsiscylindrus-CCMP1102],159749.K0QZZ7,1.24e-29,128,"2D7S0@1|root,2T78E@2759|Eukaryota,2XFZD@2836|Bacillariophyta",159749.K0QZZ7|-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12787.1_alpha/beta-hydrolase-[Fragilariopsiscylindrus-CCMP1102],9555.ENSPANP00000012761,2.31e-33,138,"COG2272@1|root,KOG1516@2759|Eukaryota,38D2A@33154|Opisthokonta,3BDJX@33208|Metazoa,3CTBY@33213|Bilateria,485ZR@7711|Chordata,48Y85@7742|Vertebrata,3J3G7@40674|Mammalia,35D4R@314146|Euarchontoglires,4M8P6@9443|Primates,36BQY@314294|Cercopithecoidea",33208|Metazoa,I,Liver carboxylesterase,CES1,"GO:0000003,GO:0000902,GO:0000904,GO:0001941,GO:0003674,GO:0003824,GO:0004771,GO:0004806,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005604,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0005811,GO:0005829,GO:0005886,GO:0005887,GO:0006066,GO:0006082,GO:0006139,GO:0006163,GO:0006629,GO:0006631,GO:0006637,GO:0006638,GO:0006639,GO:0006694,GO:0006695,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006810,GO:0006869,GO:0006897,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0007155,GO:0007158,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007416,GO:0007610,GO:0007617,GO:0007618,GO:0008037,GO:0008038,GO:0008039,GO:0008045,GO:0008150,GO:0008152,GO:0008202,GO:0008203,GO:0008610,GO:0009056,GO:0009058,GO:0009062,GO:0009117,GO:0009150,GO:0009259,GO:0009410,GO:0009605,GO:0009607,GO:0009636,GO:0009653,GO:0009888,GO:0009986,GO:0009987,GO:0010468,GO:0010646,GO:0010876,GO:0010984,GO:0012505,GO:0015850,GO:0015918,GO:0016020,GO:0016021,GO:0016042,GO:0016043,GO:0016054,GO:0016125,GO:0016126,GO:0016192,GO:0016201,GO:0016289,GO:0016290,GO:0016298,GO:0016482,GO:0016787,GO:0016788,GO:0016790,GO:0019098,GO:0019216,GO:0019222,GO:0019626,GO:0019637,GO:0019693,GO:0019752,GO:0019953,GO:0022008,GO:0022414,GO:0022607,GO:0022610,GO:0023051,GO:0030030,GO:0030154,GO:0030182,GO:0030301,GO:0030431,GO:0030855,GO:0031012,GO:0031175,GO:0031224,GO:0031226,GO:0031323,GO:0031974,GO:0032365,GO:0032366,GO:0032367,GO:0032501,GO:0032502,GO:0032504,GO:0032787,GO:0032989,GO:0032990,GO:0033036,GO:0033865,GO:0033875,GO:0034032,GO:0034377,GO:0034378,GO:0034379,GO:0034641,GO:0035383,GO:0036465,GO:0040011,GO:0042043,GO:0042221,GO:0042330,GO:0043062,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043603,GO:0043933,GO:0044085,GO:0044091,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044703,GO:0045202,GO:0046165,GO:0046395,GO:0046459,GO:0046461,GO:0046464,GO:0046483,GO:0046486,GO:0046503,GO:0046907,GO:0047617,GO:0048468,GO:0048488,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050794,GO:0050804,GO:0050808,GO:0050896,GO:0050919,GO:0051179,GO:0051186,GO:0051234,GO:0051239,GO:0051641,GO:0051649,GO:0051704,GO:0051707,GO:0051716,GO:0051791,GO:0052689,GO:0055086,GO:0060179,GO:0060255,GO:0060429,GO:0061024,GO:0061564,GO:0062023,GO:0065003,GO:0065005,GO:0065007,GO:0070013,GO:0070887,GO:0071466,GO:0071702,GO:0071704,GO:0071709,GO:0071825,GO:0071827,GO:0071840,GO:0071944,GO:0072329,GO:0072521,GO:0080090,GO:0090119,GO:0090122,GO:0090207,GO:0090320,GO:0097006,GO:0097090,GO:0097104,GO:0097105,GO:0097485,GO:0098542,GO:0098609,GO:0098657,GO:0099003,GO:0099054,GO:0099068,GO:0099172,GO:0099173,GO:0099177,GO:0099504,GO:0120036,GO:0120039,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653","3.1.1.1,3.1.1.56,3.1.1.59,3.1.1.7,3.1.1.8,3.1.1.84","ko:K01044,ko:K01049,ko:K01050,ko:K01063,ko:K03927,ko:K07378,ko:K14999","ko00564,ko00981,ko00983,ko01100,ko04514,ko04725,map00564,map00981,map00983,map01100,map04514,map04725",-,"R01026,R06728,R08149,R08150,R08220,R08249,R08251,R08255,R08258","RC00020,RC00041,RC00055,RC00162,RC00460,RC00461,RC00475,RC00476,RC00523,RC00962,RC02264","ko00000,ko00001,ko00199,ko00537,ko01000,ko04131,ko04516",-,CE10,-,COesterase
OEU12785.1_Voltage_CLC-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],159749.K0S391,1.84e-56,208,"COG0038@1|root,KOG0474@2759|Eukaryota",159749.K0S391|-,P,Chloride Channel,-,-,-,-,-,-,-,-,-,-,-,-,-
"OEU12781.1_sulfite-reductase,-ferredoxin-dependent-[Fragilariopsiscylindrus-CCMP1102]",35128.Thaps22293,0,917,"COG0155@1|root,KOG0560@2759|Eukaryota,2XAQ6@2836|Bacillariophyta",2836|Bacillariophyta,P,Nitrite and sulphite reductase 4Fe-4S domain,-,-,1.8.7.1,ko:K00392,"ko00920,ko01100,ko01120,map00920,map01100,map01120",M00176,"R00859,R03600",RC00065,"ko00000,ko00001,ko00002,ko01000",-,-,-,"NIR_SIR,NIR_SIR_ferr"
OEU12778.1_hypothetical-protein-FRACYDRAFT_191068-[Fragilariopsiscylindrus-CCMP1102],865861.AZSU01000001_gene486,2.35e-08,62.8,"COG0697@1|root,COG0697@2|Bacteria,1V009@1239|Firmicutes,24DF1@186801|Clostridia,36GKS@31979|Clostridiaceae",186801|Clostridia,EG,EamA-like transporter family,-,-,-,-,-,-,-,-,-,-,-,-,EamA
OEU12775.1_kinase-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr30282,5.93e-155,445,"COG5032@1|root,KOG0906@2759|Eukaryota,2XC59@2836|Bacillariophyta",2836|Bacillariophyta,G,1-phosphatidylinositol-3-kinase activity,-,-,2.7.1.137,ko:K00914,"ko00562,ko01100,ko04070,ko04136,ko04138,ko04140,ko04145,ko04371,ko05152,ko05167,map00562,map01100,map04070,map04136,map04138,map04140,map04145,map04371,map05152,map05167",-,R03362,"RC00002,RC00078","ko00000,ko00001,ko01000,ko04131",-,-,-,PI3_PI4_kinase
OEU12774.1_hypothetical-protein-FRACYDRAFT_244047-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr45681,1.13e-150,454,"COG1041@1|root,KOG2671@2759|Eukaryota,2XAXV@2836|Bacillariophyta",2836|Bacillariophyta,L,Putative RNA methylase family UPF0020,-,-,2.1.1.214,ko:K15430,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,UPF0020
OEU12773.1_alpha/beta-hydrolase-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps27377,1.36e-295,830,"COG1506@1|root,KOG2100@2759|Eukaryota,2XE1K@2836|Bacillariophyta",2836|Bacillariophyta,O,WD40-like Beta Propeller Repeat,-,-,-,-,-,-,-,-,-,-,-,-,"PD40,Peptidase_S9"
"OEU12770.1_shikimate-kinase,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr6807,4.1e-76,231,"COG0703@1|root,2QTKR@2759|Eukaryota,2XCCG@2836|Bacillariophyta",2836|Bacillariophyta,E,Shikimate kinase,-,-,2.7.1.71,ko:K00891,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R02412,"RC00002,RC00078","ko00000,ko00001,ko00002,ko01000",-,-,-,SKI
"OEU12767.1_hypothetical-protein-FRACYDRAFT_163510,-partial-[Fragilariopsiscylindrus-CCMP1102]",35128.Thaps31287,9.92e-29,106,"COG1112@1|root,KOG1803@2759|Eukaryota",2759|Eukaryota,L,ATP-dependent 5'-3' RNA helicase activity,-,-,-,-,-,-,-,-,-,-,-,-,AAA_12
OEU12764.1_hypothetical-protein-FRACYDRAFT_270472-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr9342,5.5e-166,480,"COG0476@1|root,KOG2337@2759|Eukaryota,2XAFC@2836|Bacillariophyta",2836|Bacillariophyta,H,ThiF family,-,-,-,ko:K08337,"ko04136,ko04138,ko04140,ko04216,map04136,map04138,map04140,map04216",-,-,-,"ko00000,ko00001,ko03029,ko04121,ko04131",-,-,-,"ATG7_N,ThiF"
OEU12761.1_rhomboid-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42743,1.18e-140,425,"COG0705@1|root,KOG2289@2759|Eukaryota,2XF3C@2836|Bacillariophyta",2836|Bacillariophyta,T,Rhomboid-like protein,-,-,-,-,-,-,-,-,-,-,-,-,Rhomboid
OEU12759.1_putative-N-terminal-acetyltransferase-A-complex-catalytic-subunit-AR.1_[Fragilariopsiscylindrus-CCMP1102],2850.Phatr51345,1.07e-94,280,"COG0456@1|root,KOG3235@2759|Eukaryota,2XC0G@2836|Bacillariophyta",2836|Bacillariophyta,S,Acetyltransferase (GNAT) domain,-,-,2.3.1.255,ko:K20791,-,-,-,-,"ko00000,ko01000,ko03036",-,-,-,Acetyltransf_1
"OEU12757.1_hypothetical-protein-FRACYDRAFT_165223,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr27135,1.44e-24,94.7,"KOG3376@1|root,KOG3376@2759|Eukaryota",2759|Eukaryota,S,positive regulation of Rho protein signal transduction,ABRACL,"GO:0005575,GO:0005623,GO:0008150,GO:0009653,GO:0030587,GO:0031143,GO:0031288,GO:0032502,GO:0032879,GO:0032970,GO:0040012,GO:0042995,GO:0044464,GO:0048856,GO:0050789,GO:0050794,GO:0051270,GO:0051703,GO:0051704,GO:0065007,GO:0090702,GO:0099120,GO:0120025,GO:2000145",-,-,-,-,-,-,-,-,-,-,Costars
"OEU12756.1_hypothetical-protein-FRACYDRAFT_160841,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr45538,1.02e-79,253,"2DQI1@1|root,2S6BX@2759|Eukaryota,2XCAM@2836|Bacillariophyta",2836|Bacillariophyta,S,Cyclic nucleotide-monophosphate binding domain,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12753.1_CheY-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr12051,1.07e-52,178,"COG5641@1|root,KOG1601@2759|Eukaryota,2XH5E@2836|Bacillariophyta",2759|Eukaryota,K,cheY-homologous receiver domain,-,-,-,"ko:K12127,ko:K12129,ko:K12130,ko:K16240","ko04712,map04712",-,-,-,"ko00000,ko00001",-,-,-,"CCT,GerE,IQ,Myosin_head,Response_reg"
OEU12752.1_hypothetical-protein-FRACYDRAFT_191099-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47383,3.38e-70,227,"2AYNU@1|root,2S03P@2759|Eukaryota,2XG8V@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"OEU12750.1_hypothetical-protein-FRACYDRAFT_164301,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr47367,4.3e-45,157,"COG0702@1|root,KOG1203@2759|Eukaryota",2759|Eukaryota,GM,divinyl chlorophyllide a 8-vinyl-reductase activity,-,-,-,-,-,-,-,-,-,-,-,-,NAD_binding_10
OEU12747.1_NAD(P)-binding-protein-[Fragilariopsiscylindrus-CCMP1102],159749.K0SE60,6.41e-84,267,"COG1028@1|root,KOG1208@2759|Eukaryota,2XF7A@2836|Bacillariophyta",2836|Bacillariophyta,Q,Belongs to the short-chain dehydrogenases reductases (SDR) family,-,-,-,-,-,-,-,-,-,-,-,-,adh_short
"OEU12745.1_hypothetical-protein-FRACYDRAFT_191150,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr6789,5.88e-27,106,"COG0494@1|root,KOG3069@2759|Eukaryota,2XDP0@2836|Bacillariophyta",2836|Bacillariophyta,L,NUDIX domain,-,-,-,-,-,-,-,-,-,-,-,-,NUDIX
OEU12738.1_hypothetical-protein-FRACYDRAFT_243994-[Fragilariopsiscylindrus-CCMP1102],1121957.ATVL01000006_gene2669,2.39e-27,119,"2A9IV@1|root,30YR7@2|Bacteria,4NKTW@976|Bacteroidetes",976|Bacteroidetes,S,Putative amidoligase enzyme,-,-,-,-,-,-,-,-,-,-,-,-,Amidoligase_2
OEU12736.1_hypothetical-protein-FRACYDRAFT_243992-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps2303,2.79e-24,110,"2CDVK@1|root,2SAXZ@2759|Eukaryota,2XD8E@2836|Bacillariophyta",2836|Bacillariophyta,S,CRAL/TRIO domain,-,-,-,-,-,-,-,-,-,-,-,-,CRAL_TRIO
"OEU12734.1_HMG-box,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr49362,3.62e-34,127,"2EIK4@1|root,2SNZC@2759|Eukaryota,2XGD6@2836|Bacillariophyta",2836|Bacillariophyta,K,high mobility group,-,-,-,-,-,-,-,-,-,-,-,-,"HMG_box,HMG_box_2"
OEU12730.1_hypothetical-protein-FRACYDRAFT_270456-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr42723,1.49e-43,153,"COG1011@1|root,2RXU6@2759|Eukaryota,2XCYQ@2836|Bacillariophyta",2836|Bacillariophyta,S,Haloacid dehalogenase-like hydrolase,-,-,-,ko:K07025,-,-,-,-,ko00000,-,-,-,Hydrolase
OEU12729.1_VKOR-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],55529.EKX49484,7.63e-26,107,"COG4243@1|root,2QRER@2759|Eukaryota",2759|Eukaryota,S,Vitamin K epoxide reductase family,-,"GO:0003674,GO:0003824,GO:0003955,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009536,GO:0009987,GO:0010207,GO:0015979,GO:0016043,GO:0016491,GO:0016651,GO:0016655,GO:0019684,GO:0022607,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0055114,GO:0065003,GO:0071840",-,-,-,-,-,-,-,-,-,-,VKOR
OEU12725.1_putative-NM.1_[Fragilariopsiscylindrus-CCMP1102],35128.Thaps6708,2.68e-155,443,"COG0715@1|root,2QQ87@2759|Eukaryota,2XC0J@2836|Bacillariophyta",2836|Bacillariophyta,P,NMT1/THI5 like,-,-,-,-,-,-,-,-,-,-,-,-,NMT1
OEU12724.1_glycoside-hydrolase/deacetylase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr40052,5.23e-139,410,"COG0726@1|root,2QQRF@2759|Eukaryota,2XBP1@2836|Bacillariophyta",2836|Bacillariophyta,G,Polysaccharide deacetylase,-,-,-,-,-,-,-,-,-,-,-,-,Polysacc_deac_1
OEU12722.1_hypothetical-protein-FRACYDRAFT_270452-[Fragilariopsiscylindrus-CCMP1102],2903.EOD16391,1.89e-61,208,"COG2220@1|root,2QQUU@2759|Eukaryota",2759|Eukaryota,S,Beta-lactamase superfamily domain,-,-,-,-,-,-,-,-,-,-,-,-,Lactamase_B_3
OEU12721.1_hypothetical-protein-FRACYDRAFT_2704.1_[Fragilariopsiscylindrus-CCMP1102],2903.EOD27886,3.53e-49,176,"COG0702@1|root,KOG1203@2759|Eukaryota",2759|Eukaryota,GM,divinyl chlorophyllide a 8-vinyl-reductase activity,-,-,-,-,-,-,-,-,-,-,-,-,NAD_binding_10
OEU12719.1_two-component-system-sensory-kinase-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr55037,0,973,"COG4251@1|root,2QPNJ@2759|Eukaryota,2XF0W@2836|Bacillariophyta",2836|Bacillariophyta,T,PAS fold,-,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,PAS"
OEU12716.1_hypothetical-protein-FRACYDRAFT_270446-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr44400,3.53e-58,193,"2E204@1|root,2S99A@2759|Eukaryota,2XACC@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"OEU12714.1_P-loop-containing-nucleoside-triphosphate-hydrolase-protein,-partial-[Fragilariopsiscylindrus-CCMP1102]",35128.Thaps262303,2.34e-168,504,"COG0210@1|root,KOG2108@2759|Eukaryota,2XEY7@2836|Bacillariophyta",2836|Bacillariophyta,L,UvrD-like helicase C-terminal domain,-,-,-,-,-,-,-,-,-,-,-,-,"UvrD-helicase,UvrD_C"
OEU12713.1_Pro_isomerase-domain-containing-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr23164,4.95e-246,688,"COG0545@1|root,COG0652@1|root,KOG0543@2759|Eukaryota,KOG0865@2759|Eukaryota,2XAJI@2836|Bacillariophyta",2836|Bacillariophyta,O,FKBP-type peptidyl-prolyl cis-trans isomerase,-,-,5.2.1.8,ko:K01802,-,-,-,-,"ko00000,ko01000",-,-,-,"FKBP_C,Pro_isomerase"
"OEU12711.1_fructose-bisphosphate-aldolase,-class-I-[Fragilariopsiscylindrus-CCMP1102]",933115.GPDM_04514,1.55e-119,352,"COG3588@1|root,COG3588@2|Bacteria,1TPUJ@1239|Firmicutes,4HCG1@91061|Bacilli,26E3G@186818|Planococcaceae",91061|Bacilli,G,Belongs to the class I fructose-bisphosphate aldolase family,fda,-,4.1.2.13,ko:K01623,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00003,M00165,M00167","R01068,R01070,R01829,R02568","RC00438,RC00439,RC00603,RC00604","ko00000,ko00001,ko00002,ko01000,ko03036,ko04131,ko04147",-,-,-,Glycolytic
"OEU12710.1_muts-4,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr51916,1.56e-59,185,"COG0249@1|root,KOG0220@2759|Eukaryota,2XCER@2836|Bacillariophyta",2836|Bacillariophyta,L,ATPase domain of DNA mismatch repair MUTS family,-,-,-,ko:K08740,-,-,-,-,"ko00000,ko03400",-,-,-,"MutS_III,MutS_IV,MutS_V"
"OEU12709.1_hypothetical-protein-FRACYDRAFT_191079,-partial-[Fragilariopsiscylindrus-CCMP1102]",35128.Thaps262047,1.35e-98,316,"COG0476@1|root,KOG2012@2759|Eukaryota,2XEH1@2836|Bacillariophyta",2836|Bacillariophyta,O,ThiF family,-,-,6.2.1.45,ko:K03178,"ko04120,ko05012,map04120,map05012",-,-,-,"ko00000,ko00001,ko01000,ko04121,ko04147",-,-,-,"E1_UFD,ThiF,UBA_e1_thiolCys"
"OEU12707.1_hypothetical-protein-FRACYDRAFT_219462,-partial-[Fragilariopsiscylindrus-CCMP1102]",2850.Phatr45663,3.59e-20,94.7,"COG0520@1|root,2S1NX@2759|Eukaryota",2759|Eukaryota,E,Aminotransferase class-V,-,-,-,-,-,-,-,-,-,-,-,-,Aminotran_5
OEU12706.1_MFS-general-substrate-transporter-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr49540,2.81e-173,529,"KOG2563@1|root,KOG2563@2759|Eukaryota,2XEBH@2836|Bacillariophyta",2836|Bacillariophyta,S,transmembrane transport,-,-,-,-,-,-,-,-,-,-,-,-,MFS_1
OEU12705.1_hypothetical-protein-FRACYDRAFT_263017-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr13505,9.75e-17,78.2,"COG0526@1|root,KOG0907@2759|Eukaryota,2XH5H@2836|Bacillariophyta",2836|Bacillariophyta,O,Thioredoxin,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin
OEU12704.1_alanine-racemase-C-terminal-domain-like-protein-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr21592,4.23e-220,617,"COG0019@1|root,KOG0622@2759|Eukaryota,2XAK0@2836|Bacillariophyta",2836|Bacillariophyta,E,Belongs to the Orn Lys Arg decarboxylase class-II family,-,-,4.1.1.20,ko:K01586,"ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00525,M00526,M00527",R00451,RC00299,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Orn_Arg_deC_N,Orn_DAP_Arg_deC"
OEU12701.1_hypothetical-protein-FRACYDRAFT_210817-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr37608,3.73e-86,268,"2C1MM@1|root,2QZG9@2759|Eukaryota,2XHND@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12699.1_hypothetical-protein-FRACYDRAFT_219457-[Fragilariopsiscylindrus-CCMP1102],159749.K0TIE0,1.38e-46,159,"2CNX0@1|root,2QYF7@2759|Eukaryota,2XG47@2836|Bacillariophyta",2836|Bacillariophyta,S,Protein of unknown function (DUF3119),-,-,-,-,-,-,-,-,-,-,-,-,DUF3119
OEU12698.1_hypothetical-protein-FRACYDRAFT_243955-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47402,3.09e-48,170,"KOG1944@1|root,KOG1944@2759|Eukaryota",2759|Eukaryota,C,Belongs to the peroxisomal membrane protein PXMP2 4 family,SYM1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006066,GO:0006067,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016021,GO:0016999,GO:0017144,GO:0019866,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034308,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:1901615",-,"ko:K13347,ko:K13348,ko:K13349","ko04146,map04146",-,-,-,"ko00000,ko00001",-,-,-,Mpv17_PMP22
OEU12693.1_hypothetical-protein-FRACYDRAFT_172146-[Fragilariopsiscylindrus-CCMP1102],2850.Phatr47403,3.94e-147,435,"2ECB0@1|root,2SI7G@2759|Eukaryota,2XBSG@2836|Bacillariophyta",2836|Bacillariophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OEU12690.1_Aldo/keto-reductase-[Fragilariopsiscylindrus-CCMP1102],35128.Thaps30310,4.82e-75,238,"COG0656@1|root,KOG1577@2759|Eukaryota,2XG06@2836|Bacillariophyta",2836|Bacillariophyta,S,Aldo/keto reductase family,-,-,-,-,-,-,-,-,-,-,-,-,Aldo_ket_red
